,Timeline,Start time,Duration,Row,Instance num,Pass Type,Player,Recipient,Half,Outcome
0,BARvALAV,00.000,2.016,Deportivo Alavés,1,Kick Off,Jonathan Rodríguez Menéndez,Guillermo Alfonso Maripán Loaysa,Opposition Half,Complete
1,BARvALAV,00.003,3.287,Deportivo Alavés,2,Regular Pass,Guillermo Alfonso Maripán Loaysa,Rubén Sobrino Pozuelo,Opposition Half,Incomplete
2,BARvALAV,00.007,1.697,Barcelona,1,Recovery,Sergio Busquets i Burgos,Ivan Rakitić,Own Half,Complete
3,BARvALAV,00.008,1.136,Barcelona,2,Regular Pass,Ivan Rakitić,Ousmane Dembélé,Own Half,Complete
4,BARvALAV,00.010,0.758,Barcelona,3,Regular Pass,Ousmane Dembélé,Jordi Alba Ramos,Own Half,Complete
5,BARvALAV,00.011,4.726,Barcelona,4,Regular Pass,Jordi Alba Ramos,,Own Half,Incomplete
6,BARvALAV,00.025,4.153,Deportivo Alavés,3,Regular Pass,Víctor Laguardia Cisneros,,Opposition Half,Incomplete
7,BARvALAV,00.030,1.301,Barcelona,5,Regular Pass,Marc-André ter Stegen,Gerard Piqué Bernabéu,Own Half,Complete
8,BARvALAV,00.035,1.257,Barcelona,6,Regular Pass,Gerard Piqué Bernabéu,Nélson Cabral Semedo,Own Half,Complete
9,BARvALAV,00.037,0.716,Barcelona,7,Regular Pass,Nélson Cabral Semedo,Sergi Roberto Carnicer,Opposition Half,Complete
10,BARvALAV,00.038,0.924,Barcelona,8,Regular Pass,Sergi Roberto Carnicer,Nélson Cabral Semedo,Own Half,Complete
11,BARvALAV,00.040,1.866,Barcelona,9,Regular Pass,Nélson Cabral Semedo,Samuel Yves Umtiti,Own Half,Complete
12,BARvALAV,00.044,1.294,Barcelona,10,Regular Pass,Samuel Yves Umtiti,Jordi Alba Ramos,Own Half,Complete
13,BARvALAV,00.046,0.672,Barcelona,11,Regular Pass,Jordi Alba Ramos,Ivan Rakitić,Own Half,Complete
14,BARvALAV,00.049,3.166,Barcelona,12,Regular Pass,Ivan Rakitić,Gerard Piqué Bernabéu,Own Half,Complete
15,BARvALAV,00.051,2.594,Barcelona,16,Recovery,Ousmane Dembélé,Ivan Rakitić,Own Half,Complete
16,BARvALAV,00.053,2.217,Deportivo Alavés,17,Regular Pass,Ibai Gómez,Jonathan Rodríguez Menéndez,Opposition Half,Complete
17,BARvALAV,00.055,2.837,Deportivo Alavés,18,Regular Pass,Ibai Gómez,Rubén Sobrino Pozuelo,Opposition Half,Complete
18,BARvALAV,00.056,1.636,Deportivo Alavés,19,Regular Pass,Ibai Gómez,Víctor Laguardia Cisneros,Opposition Half,Incomplete
19,BARvALAV,00.056,0.606,Barcelona,20,Recovery,Ivan Rakitić,Ivan Rakitić,Own Half,Complete
20,BARvALAV,00.059,3.046,Deportivo Alavés,21,Regular Pass,Víctor Laguardia Cisneros,Guillermo Alfonso Maripán Loaysa,Opposition Half,Complete
21,BARvALAV,01.000,1.26,Barcelona,22,Regular Pass,Philippe Coutinho,Sergio Busquets i Burgos,Own Half,Complete
22,BARvALAV,01.003,3.455,Deportivo Alavés,23,Recovery,Manu García,Fernando Pacheco,Opposition Half,Complete
23,BARvALAV,01.004,1.32,Deportivo Alavés,24,Kick Off,Tomás Pina,Ibai Gómez,Opposition Half,Complete
24,BARvALAV,01.004,0.885,Deportivo Alavés,25,Kick Off,Fernando Pacheco,Jonathan Rodríguez Menéndez,Opposition Half,Incomplete
25,BARvALAV,01.007,3.89,Deportivo Alavés,26,Regular Pass,Rubén Duarte,Burgui,Own Half,Incomplete
26,BARvALAV,01.009,2.236,Barcelona,27,Recovery,Ousmane Dembélé,Nélson Cabral Semedo,Opposition Half,Complete
27,BARvALAV,01.009,0.622,Barcelona,28,Kick Off,Sergio Busquets i Burgos,Ousmane Dembélé,Opposition Half,Complete
28,BARvALAV,01.012,3.779,Deportivo Alavés,29,Recovery,Víctor Laguardia Cisneros,Ibai Gómez,Own Half,Incomplete
29,BARvALAV,01.016,4.003,Deportivo Alavés,30,Recovery,Fernando Pacheco,Tomás Pina,Own Half,Incomplete
30,BARvALAV,01.017,1.072,Deportivo Alavés,31,Recovery,Tomás Pina,Víctor Laguardia Cisneros,Own Half,Complete
31,BARvALAV,01.020,3.72,Barcelona,32,Recovery,Luis Suárez,Sergio Busquets i Burgos,Opposition Half,Incomplete
32,BARvALAV,01.020,0.957,Deportivo Alavés,33,Recovery,Jonathan Rodríguez Menéndez,Manu García,Own Half,Incomplete
33,BARvALAV,01.020,0.509,Barcelona,34,Recovery,Ivan Rakitić,Ivan Rakitić,Own Half,Incomplete
34,BARvALAV,01.021,1.98,Deportivo Alavés,35,Kick Off,Rubén Duarte,Ibai Gómez,Opposition Half,Incomplete
35,BARvALAV,01.025,4.011,Deportivo Alavés,36,Recovery,Manu García,Manu García,Own Half,Incomplete
36,BARvALAV,01.029,4.086,Deportivo Alavés,37,Regular Pass,Manu García,Manu García,Opposition Half,Complete
37,BARvALAV,01.029,0.969,Barcelona,38,Regular Pass,Sergio Busquets i Burgos,Nélson Cabral Semedo,Own Half,Incomplete
